Seqno,STOCK_ID,GS_ACCNO,NAME,Source_Accno,CROPYEAR,AWPR_REPRO,CUDI_CODE_REPRO,CULT_CODE_REPRO,CUNO_CODE_REPRO,LLT_CODE,PLT_CODE_POST,SDHT_CODE,APANTH_REPRO,APSH,APCO_REV_POST,APCO_REV_REPRO,AWCO_LREV,AWCO_REV,AWDIST,BLANTHPR_VEG,BLANTHDI_VEG,BLPUB_VEG,BLSCO_ANTH_VEG,BLSCO_REV_VEG,CCO_REV_VEG,CUAN_REPRO,ENDO,FLA_EREPRO,FLA_REPRO,INANTH,LIGCO_REV_VEG,LIGSH,LPCO_REV_POST,LPPUB,LSEN,NOANTH,PEX_REPRO,PTH,SCCO_REV,SECOND_BR_REPRO,SLCO_REV,SPKF,SLLT_CODE,AUCO_REV_VEG,BLCO_REV_VEG,CUST_REPRO,INCO_REV_REPRO,LA,NOCO_REV,PA_REPRO,PSH,PTY
47,64,121606,CHAWAL::IRGC 73090-1,73090,,1,1,5,2,3,4,2,,,,070,,040,,,,3,,060,061,1,1,,5,,011,3,020,5,7,,9,1,010,1,020,5,3,061,060,1,041,3,,2,1,2
48,65,121902,BERENJ 1277 S::IRGC 3461-1,3461,,1,1,3,2,3,2,1,,,,070,,020,,,,3,,060,060,1,1,,1,,011,,020,,1,,9,2,010,,,2,5,061,060,7,060,,,,,9
49,66,126078,PANNITHI::IRGC 51049-1,51049,,9,2,6,2,4,3,2,,,,070,,070,,,,2,,060,060,3,1,,5,,011,3,020,4,5,,7,2,070,1,020,4,3,061,060,3,041,5,,2,1,5
50,68,121582,TAK::IRGC 73124-1,73124,1991WS,1,2,3,3,3,3,2,,,020,020,,020,,,,3,,060,061,5,1,,5,,011,3,020,4,3,,5,3,070,1,020,4,1,061,060,5,041,2,060,2,1,7
51,69,121120,SIMUL KHURI::IRGC 35154-1,35154,,1,1,4,3,3,3,2,,,,020,,020,,,,3,,060,061,3,1,,3,,011,3,020,2,7,,5,2,070,1,020,5,3,061,060,5,060,4,,2,1,5
52,70,121036,LALSAITA::IRGC 43915-1,43915,,0,1,5,2,4,3,2,,,,020,,000,,,,3,,060,061,5,1,,7,,011,3,054,2,3,,9,2,070,1,020,4,3,061,063,9,060,9,,2,1,9
53,71,121069,NOROI::IRGC 31611-1,31611,,0,2,4,2,3,3,2,,,,080,,000,,,,3,,084,060,3,1,,3,,011,,054,,9,,9,3,070,,020,4,3,061,060,9,060,,,,,5
54,72,121441,MUTTU SAMBA::IRGC 36333-1,36333,1992WS,0,2,5,1,4,2,2,,,052,080,,000,,,,3,,060,061,5,1,,3,,011,3,053,4,5,,7,3,070,1,020,3,1,061,060,1,041,5,060,2,1,5
55,73,124467,RAYADA::IRGC 27594-1,27594,,1,2,6,2,3,3,3,,,,080,,080,,,,3,,060,060,3,1,,5,,011,3,020,4,9,,9,3,070,1,020,5,3,061,060,5,060,4,,2,3,5
56,74,126249,N 22::IRGC 46459-1,46459,,0,1,5,3,4,3,2,,,,080,,000,,,,3,,084,061,3,1,,3,,011,3,020,4,3,,5,2,051,1,,5,3,061,060,3,060,3,,2,1,5
57,75,125964,GENE::IRGC 67434-1,67434,,0,2,5,2,3,3,2,,,,020,,000,,,,3,,060,061,3,1,,3,,011,3,020,4,3,,5,2,010,1,020,4,3,061,060,3,041,5,,2,1,5
58,76,,NALUMOOLAI KARUPAN::IRGC 8993-1,8993,,0,2,7,2,4,3,2,,,,080,,000,,,,3,,060,060,1,1,,3,,011,,100,,1,,9,2,070,,,4,5,061,060,1,060,,,,,9
59,77,126049,BOTOHAVANA MENA::IRGC 69349-1,69349,,1,2,6,2,4,3,2,,,,070,,070,,,,3,,081,061,3,1,,1,,011,3,053,3,5,,9,2,070,1,020,4,3,061,085,3,060,4,,1,1,9
60,82,126002,POKKALI::IRGC 8948-1,8948,,0,2,5,2,4,4,1,,,,080,,000,,,,3,,084,060,1,1,,1,,011,,020,,1,,9,2,070,,,4,5,061,060,1,080,,,,,9
61,83,,ARC 13530::IRGC 41146-1,41146,,0,2,6,2,4,4,2,,,,020,,000,,,,3,,060,061,3,1,,5,,011,3,020,3,7,,7,3,010,1,020,4,3,061,061,5,060,5,,2,1,5
62,84,125613,JIN JUN DAO::IRGC 59710-1,59710,,0,1,4,3,3,3,2,,,,020,,000,,,,3,,060,060,5,1,,3,,011,3,053,4,7,,9,3,070,1,020,4,3,061,060,1,041,5,,2,1,9
63,85,125616,KOTTEYARAN::IRGC 47383-1,47383,,0,2,4,2,3,3,2,,,,020,,000,,,,3,,060,061,5,1,,5,,011,3,020,2,5,,9,3,010,1,020,4,3,061,060,3,041,6,,2,1,3
64,86,126075,NIAO YAO::IRGC 5496-1,5496,,0,2,6,2,3,3,2,,,,010,,000,,,,3,,060,060,7,1,,5,,011,,020,,1,,9,2,010,,,4,5,061,060,9,060,,,,,9
65,87,125940,XIA ZHI BAI::IRGC 53437-1,53437,1992WS,0,1,2,2,2,2,2,,,020,020,,000,,,,3,,060,061,3,1,,1,,011,3,053,4,5,,7,3,010,1,020,4,3,061,063,1,041,3,060,2,1,5
66,88,125868,PARA NELLU::IRGC 50009-1,50009,,0,2,4,2,3,3,2,,,,080,,000,,,,3,,060,061,7,1,,5,,011,3,020,2,9,,9,3,010,1,020,3,3,061,060,5,041,5,,2,1,9
67,90,125840,MILYANG 77::IRGC 69340-1,69340,,0,1,2,2,2,2,2,,,,020,,000,,,,3,,060,061,1,1,,1,,011,3,020,4,5,,5,2,010,1,020,5,1,061,060,3,060,1,,2,1,5
68,91,126080,PICO NEGRO::IRGC 55849-1,55849,,0,1,4,3,4,3,1,,,,080,,000,,,,3,,060,060,3,1,,5,,011,3,020,4,7,,7,3,010,1,020,4,3,061,061,1,060,4,,2,1,5
69,93,121242,7507-137::IRGC 40081-1,40081,,0,1,3,2,3,3,2,,,,020,,000,,,,3,,060,061,1,1,,5,,011,3,020,4,9,,9,3,010,2,020,5,3,061,063,1,060,1,,2,1,5
70,94,121246,AI DA ZHONG::IRGC 59348-1,59348,,1,,2,2,2,2,2,,,,052,,020,,,,3,,060,061,1,1,,3,,011,3,042,3,,,9,3,010,1,020,5,3,061,063,1,060,3,,2,1,1
71,95,125860,OEIRAS::IRGC 286-1,286,,0,2,3,2,3,2,1,,,,080,,000,,,,3,,060,060,1,1,,5,,011,,020,,9,,9,2,010,,,4,5,061,063,1,060,,,,,1
72,96,121471,PI 282203::IRGC 16292-1,16292,,7,1,3,2,3,2,2,,,,080,,080,,,,3,,060,061,1,1,,5,,011,3,020,5,5,,9,3,010,1,020,4,3,061,063,1,084,1,,2,1,1
73,97,125992,KHAU TRA BONG::IRGC 78342-1,78342,1993WS,0,2,4,2,4,3,2,,,052,071,,000,,,,1,,060,061,3,2,,3,,011,3,020,1,5,,7,3,010,1,020,4,3,061,063,1,041,1,060,2,1,5
74,98,,MINATANDA::IRGC 74613-1,74613,1993WS,0,2,6,2,3,3,2,,,020,020,,000,,,,1,,060,061,3,1,,1,,011,3,020,1,3,,7,2,010,1,020,4,3,061,063,1,041,2,060,2,1,5
75,99,,LOMPUG::IRGC 71559-1,71559,,0,2,6,2,4,3,2,,,,080,,000,,,,3,,060,061,3,1,,5,,011,3,090,5,5,,7,2,010,1,080,3,3,061,060,3,041,3,,2,1,3
76,100,126991,WANGKOD::IRGC 71646-1,71646,,0,2,6,1,4,3,2,,,,080,,000,,,,3,,060,061,3,1,,5,,011,3,042,1,5,,7,2,010,1,020,5,3,061,060,3,041,5,,2,1,5
77,101,125703,CHIRGUA 1 I 22::IRGC 3408-1,3408,,0,2,5,2,3,3,1,,,,010,,000,,,,3,,060,060,1,1,,1,,011,,042,,9,,9,1,010,,,4,3,061,063,1,060,,,,,1
